track_id,genre,tension,audio_path
53,classical,0.7058823529411765,.\Audio\classical\53.wav
66,classical,0.47058823529411764,.\Audio\classical\66.wav
74,classical,0.4444444444444444,.\Audio\classical\74.wav
1,electronic,0.64,.\Audio\electronic\1.wav
4,electronic,0.62,.\Audio\electronic\4.wav
19,pop,0.631578947368421,.\Audio\pop\19.wav
39,pop,0.5833333333333334,.\Audio\pop\39.wav
40,pop,0.5833333333333334,.\Audio\pop\40.wav
27,rock,0.5,.\Audio\rock\27.wav
57,rock,0.2857142857142857,.\Audio\rock\57.wav
60,rock,0.5,.\Audio\rock\60.wav